procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  1      0 6175740  95040 4359060    0    0   421   114 2131    3  3  1 96  0  0  0
 1  1      0 6149980  97884 4385140    0    0     0 11832 11969 19462  4  3 82 11  0  0
 0  1      0 6134792 100620 4392616    0    0     0  5832 19537 28027 10  5 78  7  0  0
 0  1      0 6106384 103468 4407000    0    0     0  6088 15193 22368  7  3 83  8  0  0
 0  1      0 6109264 106316 4407120    0    0     0  6092 14351 19295  4  2 86  8  0  0
 1  1      0 6107500 109156 4406408    0    0     0  5996 17319 23738  6  3 84  8  0  0
 0  1      0 6077716 111916 4429928    0    0     0  5796 16192 24594 10  4 78  7  0  0
 2  1      0 6073996 114708 4429836    0    0     0  5900 16049 20919  6  3 84  8  0  0
 3  0      0 6074304 117540 4431864    0    0    16  5988 11975 18130  3  2 86  8  0  0
 0  1      0 6089388 120396 4402424    0    0     0  6032 11689 17507  2  2 87  9  0  0
 2  1      0 6085864 123268 4402384    0    0     0  6028 11850 17846  2  2 87  8  0  0
 2  1      0 6065272 125852 4415176    0    0     0  5432 20625 26385 18  4 71  7  0  0
 2  1      0 6058724 128588 4422536    0    0     0  5852 17327 24523  5  3 84  8  0  0
 1  1      0 6064364 131380 4412284    0    0     0  6164 13028 20573  3  2 87  8  0  0
 1  1      0 6071800 134148 4411260    0    0     0  6048 16718 22612  3  2 87  8  0  0
 3  1      0 6067268 136924 4411960    0    0     0  6216 13833 20706  3  1 87  8  0  0
 3  1      0 6065260 139692 4412516    0    0     0  6248 17588 26309  5  2 85  8  0  0
 0  1      0 6070392 142444 4412528    0    0     0  6020 17717 25644  4  2 86  8  0  0
 0  1      0 6043860 145084 4435464    0    0     0  5920 17358 27272 16  3 74  7  0  0
 2  0      0 6042184 147876 4435708    0    0     0  6092 14341 21445  3  1 87  8  0  0
 1  1      0 6029624 150604 4443008    0    0     0  5968 17641 26599  7  2 83  7  0  0
